Bird Species
Black-chinned Robin
Bornean Swiftlet
Oriental Hobby
Southern Nightingale-Wren
Painted Tiger Parrot
Doherty's Bushshrike
Mangrove Cuckoo
White-bellied Kingfisher
Broad-ringed White-eye
Vinous-throated Parrotbill
Abyssinian Waxbill
Green Figbird
Long-crested Pygmy Tyrant
Pale-crested Woodpecker
Black-crowned Barwing
Eurasian Treecreeper
Rusty Laughingthrush
Andean Condor
Versicolored Emerald
Common Babbler
Black-capped Sparrow
Sakhalin Grasshopper Warbler
Black-streaked Scimitar Babbler
Atlantic Royal Flycatcher
Pacific Emerald Dove
Nuku Hiva Monarch
Moorea Reed Warbler
Black-backed Bittern
Citrine White-eye
Brown Wood Owl
Bare-throated Tiger Heron
Grey-headed Albatross
White-browed Antpitta
Brown-flanked Bush Warbler
White-throated Fantail
Black Guineafowl
Buff-throated Woodcreeper
Black-winged Pratincole
Taiwan Whistling Thrush
Dusky Indigobird
Least Bittern
Black-breasted Myzomela
Spotted Nothura
Esmeraldas Antbird
"""Wangi-wangi White-eye"""
White-eyed Buzzard
Sandhill Crane
Tawny-chested Flycatcher
Brown Goshawk
Sri Lanka Hanging Parrot
Mariana Kingfisher
Genovesa Ground Finch
Rufous-crowned Emu-wren
Desert Sparrow
White-tailed Starfrontlet
Ratchet-tailed Treepie
White-vented Violetear
Mountain Wren
Monotonous Lark
Long-tailed Widowbird
Speckled Tinkerbird
Unicolored Jay
Albert's Lyrebird
Black-necked Red Cotinga
Fiery Minivet
Blue Cuckooshrike
Timor Boobook
Ceara Gnateater
Rock Firefinch
Scaly-throated Foliage-gleaner
Magpie Shrike
Great Spinetail
Grey-mantled Wren
Tataupa Tinamou
American Coot
Northern Bentbill
Burnished-buff Tanager
Rock Bunting
Eastern Towhee
Vitelline Warbler
Green Jay
Rubeho Akalat
Black-cowled Oriole
Common House Martin
Stygian Owl
Cobalt-winged Parakeet
Labrador Duck
Cinnamon Flycatcher
Manu Antbird
New Caledonian Cuckooshrike
Tufted Duck
Collared Crow
Mountain Fulvetta
Green Twinspot
Red-fronted Coua
Iceland Gull
Fawn-breasted Bowerbird
Great Barbet
Sooty Chat
Hooded Crane
Yellow-billed Barbet
Red-headed Tanager
Sula Pitta
Black-crowned Antpitta
Golden-rumped Flowerpecker
Black-backed Cisticola
Yellowhead
Emu
Alagoas Tyrannulet
Black Curassow
Hooded Pitohui
Black-and-yellow Broadbill
Sulawesi Ground Dove
East Andean Antbird
Red-faced Woodland Warbler
Austral Negrito
Andean Potoo
Brahminy Kite
Utcubamba Tapaculo
Celestial Monarch
Canyon Wren
Carmelite Sunbird
Gunnison Grouse
Blue-throated Starfrontlet
Rufous Fieldwren
Rondonia Bushbird
Zebra Finch
Pied Cuckooshrike
Philippine Hawk-Cuckoo
Shelley's Greenbul
Hinde's Babbler
Woodford's Rail
Forbes's Mannikin
Lilac Kingfisher
Yellow-tufted Honeyeater
Rufous-lored Tyrannulet
Rusty-margined Flycatcher
Green-backed Flycatcher
Golden Monarch
Buff-cheeked Tody-Flycatcher
Pacific Tuftedcheek
Horned Guan
American Wigeon
Snail-eating Coua
Indonesian Serin
Black-throated Robin
Vogelkop Bowerbird
Helmet Vanga
Black-headed Antbird
White-chinned Swift
Hamerkop
White-bellied Tit
Mourning Wheatear
Barred Antshrike
River Tyrannulet
Guianan Warbling Antbird
White-tailed Cotinga
Barn Swallow
Rusty-tailed Flycatcher
Rufous-tailed Scrub Robin
Brown Sicklebill
Lined Forest Falcon
Taiwan Fulvetta
Negros Leaf Warbler
Black-browed Fulvetta
Eclectus Parrot
Chestnut-quilled Rock Pigeon
Pale-blue Monarch
Altamira Oriole
Large-footed Finch
Bates's Paradise Flycatcher
Spotted Bamboowren
Masked Booby
Scarlet-shouldered Parrotlet
Saffron-headed Parrot
Somali Bulbul
Antioquia Wren
Brown Mesite
Maghreb Magpie
African Broadbill
Yellow-breasted Bunting
Mountain Pipit
Siberian Nuthatch
Geomalia
Southern Scrub Robin
Narcondam Hornbill
Manus Dwarf Kingfisher
Orange-billed Babbler
Green-throated Mountaingem
Rufous-breasted Leaftosser
Luzon Hornbill
Pearl-spotted Owlet
Black-capped Tinamou
Black-hooded Laughingthrush
Cape Teal
Ecuadorian Ground Dove
Wattled Guan
Pale-billed Scrubwren
Kentish Plover
Purple-banded Sunbird
Mentawai Scops Owl
Luzon Hawk-Owl
Brown-bellied Stipplethroat
Madagascar Stonechat
Mindanao Brown Dove
Philippine Eagle-Owl
Rwenzori Turaco
Variable Oriole
Lemon-throated Barbet
Equatorial Akalat
Ivory-billed Coucal
Austral Parakeet
Natewa Silktail
Nepal Cupwing
Red-billed Ground Cuckoo
Black-and-white Shrike-flycatcher
