Bird Species
White-hooded Babbler
Large Blue Flycatcher
Turquoise-throated Barbet
Red-fronted Barbet
Guianan Puffbird
Scarlet-horned Manakin
White-bellied Canary
Cirl Bunting
New Britain Dwarf Kingfisher
Samoan Flycatcher
Chiriqui Yellowthroat
Dusky Thrush
Bay-capped Wren-Spinetail
Great Dusky Swift
Curve-billed Thrasher
Moreau's Sunbird
Blacksmith Thrush
Olive-tree Warbler
Tibetan Blackbird
Indian Robin
Silver-backed Tanager
Tyrian Metaltail
Ornate Pitta
Rufous-headed Tanager
African Olive Pigeon
Slender-billed Oriole
Brown Thornbill
Rufous Fantail
Bahama Mockingbird
California Condor
White-bearded Antshrike
Yellow-crowned Whitestart
Dusky Moorhen
Yellow-olive Flatbill
Foveaux Shag
Cinnamon Becard
Spotted Kestrel
Dark Batis
Yellow-eared Bulbul
Asian Desert Warbler
Forest White-eye
Russet-throated Puffbird
Black-throated Jay
Norfolk Ground Dove
Plum-throated Cotinga
Buru Green Pigeon
Banded Whiteface
Fawn-colored Lark
West African Seedeater
Brace's Emerald
Marsh Grassbird
Brown Fulvetta
Wire-crested Thorntail
Band-tailed Fruiteater
Brown Trembler
Jameson's Firefinch
Stripe-cheeked Woodpecker
Yellow-billed Nunbird
Boreal Chickadee
European Crested Tit
Sulawesi Masked Owl
Sulawesi Blue Flycatcher
Olive-faced Flatbill
Himalayan Owl
Ruddy Ground Dove
Uniform Woodcreeper
Bornean Bulbul
Azure-crested Flycatcher
Cape Barren Goose
Manus Fantail
Hoary-throated Spinetail
Okarito Kiwi
Huon Astrapia
Cape Canary
Dwarf Tyrant-Manakin
Firethroat
White-naped Honeyeater
Halmahera Flowerpecker
Philippine Spine-tailed Swift
Cape Cormorant
Speke's Weaver
Cinnamon-breasted Bunting
Barred Eagle-Owl
Cream-striped Bulbul
Pygmy Sunbird
Black-eared Warbler
Timor Friarbird
Stub-tailed Antbird
Townsend's Storm Petrel
White-spotted Mannikin
Senegal Coucal
Black-breasted Puffleg
Blue-tufted Starthroat
Hooded Vulture
Sangihe Shrikethrush
Tenerife Blue Chaffinch
Grand Rhabdornis
Mountain Pygmy Owl
Pink-bellied Imperial Pigeon
Striped Cuckoo
Planalto Woodcreeper
Grey-headed Silverbill
Xantus's Hummingbird
Western Yellow Wagtail
Lesser Prairie Chicken
Marquesan Imperial Pigeon
Yellow-billed Nuthatch
Gosling's Bunting
Rufous-cheeked Tanager
Rufous-necked Laughingthrush
White-tailed Hawk
Gray's Lark
Snowcap
Yap Monarch
Spot-crowned Antvireo
Geelvink Imperial Pigeon
Loja Tyrannulet
Orange Minivet
Abbott's Babbler
Blue-necked Jacamar
Henderson Crake
White-crested Hornbill
Negros Striped Babbler
Band-tailed Pigeon
Superb Fruit Dove
Golden-crowned Warbler
Black-throated Sparrow
Colima Warbler
New Ireland Friarbird
Blyth's Reed Warbler
Riverbank Warbler
Bushveld Pipit
Yellow-fronted Barbet
Black-streaked Puffbird
Sykes's Lark
Green-barred Woodpecker
House Crow
Golden-mantled Racket-tail
Chilean Tinamou
Bare-eyed Rail
White-fronted Quail-Dove
Buru Thrush
Bar-shouldered Dove
Tanzanian Masked Weaver
Golden-eyed Flowerpiercer
Cinnamon-sided Hummingbird
Sickle-billed Vanga
Bornean Treepie
Obbia Lark
Abyssinian Ground Thrush
Abyssinian Crimsonwing
Bearded Guan
Cinnamon Hummingbird
Banda Sea Pitta
Palawan Drongo
Grey-winged Francolin
Indian Yellow-nosed Albatross
Bougainville Whistler
Oleaginous Hemispingus
Doria's Goshawk
Choco Sirystes
Guam Flycatcher
Malagasy Sacred Ibis
Dusky-billed Parrotlet
Raffles's Malkoha
Sunda Forktail
Böhm's Flycatcher
Grey-green Scrubwren
Silvery Pigeon
White-throated Canary
Blue-crowned Racket-tail
Orange-tufted Spiderhunter
Henderson Fruit Dove
Crow-billed Drongo
Red-throated Alethe
Fork-tailed Tody-Tyrant
Shelley's Francolin
Rufous-winged Fulvetta
Blue-naped Pitta
Grey Gerygone
Blue-tailed Hummingbird
Visayan Broadbill
White-winged Brushfinch
Numfor Paradise Kingfisher
Large-billed Scrubwren
Rattling Cisticola
Willow Flycatcher
Ashy Myzomela
Bell Miner
Timor Blue Flycatcher
Olive-green Camaroptera
White-tailed Robin
Verreaux's Coua
Sooty-headed Tyrannulet
White-streaked Friarbird
Fork-tailed Drongo
Black Falcon
Swamp Nightjar
Asian Emerald Cuckoo
Blacksmith Lapwing
Para Foliage-gleaner
Bannerman's Shearwater
Jamaican Petrel
Hudsonian Godwit
Mindanao Hawk-Owl
Grey-headed Robin
Black-tipped Monarch
Shiny Whistling Thrush
Mussau Monarch
Vermilion Cardinal
Light-crowned Spinetail
Swallow-tailed Hummingbird
Basra Reed Warbler
Visayan Babbler
Black-fronted Flowerpecker
Greater Ground Robin
Cryptic Antthrush
Dark-sided Flycatcher
White-backed Stilt
Variable Hawk
Andean Siskin
Yungas Sparrow
Black-backed Swamphen
Black-throated Honeyeater
Arizona Woodpecker
American Three-toed Woodpecker
Black-billed Capercaillie
Blue-lored Antbird
Rufous-webbed Bush Tyrant
Yellow-striped Brushfinch
Western Gull
Banggai Scops Owl
Red-tailed Amazon
Brown Snake Eagle
Chestnut-collared Swift
Toro Olive Greenbul
Bobolink
Aldabra Brush Warbler
Graceful Honeyeater
Marbled Honeyeater
Smoke-colored Pewee
Pale-breasted Illadopsis
Black Berrypecker
Nava's Wren
Lesser Crested Tern
Principe Speirops
Eurasian Stone-curlew
Little Buttonquail
Hispaniolan Palm Crow
Indian Golden Oriole
Grey-backed Cisticola
Henst's Goshawk
Pacific Kingfisher
Blue-rumped Manakin
Smoky Robin
Fraser's Rufous Thrush
Grey-throated Rail
Paperbark Flycatcher
Macquarie Shag
Himalayan Shrike-babbler
Yellow-crowned Woodpecker
Banded Cotinga
Spot-breasted Scimitar Babbler
Carunculated Fruit Dove
Slender-billed Curlew
Andaman Nightjar
Dusky Purpletuft
Olivaceous Flatbill
Wetar Figbird
Chestnut-crowned Sparrow-Weaver
Orange Ground Thrush
Swahili Sparrow
Grey-bellied Flowerpiercer
Lowland Peltops
Brown Thrasher
Timor Green Pigeon
Angolan Slaty Flycatcher
Gansu Leaf Warbler
Mato Grosso Antbird
Grey-crowned Tanager
Japanese Tit
Ruby-topaz Hummingbird
Fawn-breasted Tanager
LeConte's Sparrow
Blackburnian Warbler
Striped Flufftail
Bearded Screech Owl
Red-rumped Tinkerbird
Rufous-gaped Hillstar
Anteater Chat
Chin Hills Wren-Babbler
Tundra Swan
Maquis Canastero
Jerdon's Bush Chat
Chatham Fernbird
House Wren
Yellow Grosbeak
Brown-backed Solitaire
Blue-billed Black Tyrant
Black-capped Swallow
Sharp-beaked Ground Finch
Common Merganser
Mountain Shrike
Kioea
Orange-breasted Laughingthrush
Southern Brown-throated Weaver
White-bearded Hermit
Creamy-bellied Thrush
Common Rock Thrush
Martial Eagle
Sri Lanka Grey Hornbill
Yellow-billed Blue Magpie
Tropical Screech Owl
Golden Pheasant
Tawny-backed Fantail
White-crowned Starling
Olive-chested Flycatcher
Lawrence's Goldfinch
White-collared Pigeon
Blood-eared Parakeet
Sclater's Crowned Pigeon
Blue Rock Thrush
Mayan Antthrush
Indochinese Bush Lark
Southern Yellowthroat
Jackson's Spurfowl
Black Honeyeater
Elegant Honeyeater
Ashy-throated Warbler
Smoky Warbler
Hermit Warbler
Amazonian Antshrike
Rufous-crowned Babbler
White-capped Monarch
Temminck's Stint
Brambling
Streak-breasted Fantail
Southern Giant Petrel
Andean Slaty Thrush
Orange-fronted Barbet
Northern Black Flycatcher
Bronze-brown Cowbird
Black-hooded Coucal
Western Quail-thrush
Chiguanco Thrush
Island Monarch
White-browed Blackbird
Oaxaca Sparrow
Northern Tufted Flycatcher
White-headed Babbler
Apurimac Brushfinch
Tagula White-eye
Scarlet-backed Woodpecker
Rufous-vented Yuhina
Sulphur-crested Cockatoo
Black-winged Cuckooshrike
African Wattled Lapwing
Chestnut-naped Antpitta
Nicholson's Pipit
White-naped Pigeon
Cuban Palm Crow
Red-billed Tropicbird
Orange-spotted Bulbul
Slaty-backed Forktail
Banded Quail
Arabian Babbler
Golden-winged Tody-Flycatcher
Black-capped Woodland Warbler
Levaillant's Cuckoo
Red-necked Amazon
Ashy-headed Laughingthrush
Turquoise Cotinga
Little Spotted Kiwi
Plain Parakeet
Santa Marta Sabrewing
Blue-fronted Blue Flycatcher
Javan Scimitar Babbler
Sladen's Barbet
Variable Shrikethrush
Tapajos Hermit
Lesser Woodcreeper
Fulvous Owl
Sierra Madre Ground Warbler
Pin-tailed Snipe
Grey-hooded Sunbird
Brown Songlark
Crimson-mantled Woodpecker
Yellow-vented Eremomela
Black Turnstone
Suiriri Flycatcher
Rough-legged Tyrannulet
Black-capped Becard
Miombo Scrub Robin
Pacific Flatbill
Spillmann's Tapaculo
Hudson's Black Tyrant
Mangrove Whistler
Bagobo Babbler
Livingstone's Turaco
Bristle-thighed Curlew
Elusive Antpitta
Kadavu Honeyeater
Chapada Flycatcher
Moluccan Myzomela
Budgerigar
Moluccan Flycatcher
Yellow-throated Euphonia
Grey-cheeked Green Pigeon
Schwartz's Antthrush
Chestnut-winged Cuckoo
Grey-headed Nigrita
Japanese Cormorant
Barau's Petrel
Blue-black Kingfisher
Epaulet Oriole
Red-backed Thrush
Scarlet-collared Flowerpecker
Chatham Bellbird
Red-headed Malimbe
Turquoise-winged Parrotlet
Pink-billed Parrotfinch
Tawny-throated Leaftosser
Snoring Rail
Tepui Brushfinch
Elegant Crested Tinamou
Mouse-colored Tyrannulet
White-eared Catbird
Everett's White-eye
Magdalena Tapaculo
Little Green Sunbird
Philippine Pitta
Dusky Piha
Rote Myzomela
Blue-headed Crested Flycatcher
Wied's Tyrant-Manakin
Grey-winged Cotinga
Blyth's Hornbill
Red-faced Malkoha
South Polar Skua
Azure-winged Magpie
Redthroat
Black-throated Trogon
Grey Gull
Variegated Laughingthrush
Chestnut-headed Partridge
Sulphur-bellied Bulbul
Oriental Pratincole
Long-tailed Mockingbird
Javan White-eye
Red-legged Partridge
Dusky Lark
Buff-bellied Puffbird
Eurasian Blue Tit
Black Redstart
Woodhouse's Scrub Jay
Jet Antbird
Grey-cheeked Warbler
Laughing Gull
Savile's Bustard
Dusky-throated Hermit
Vanikoro Flycatcher
Merida Tapaculo
Salvin's Curassow
Tacarcuna Wood Quail
Blyth's Shrike-babbler
Tylas Vanga
Grey-capped Cuckoo
Black-tailed Tityra
Amazonian Royal Flycatcher
Black-thighed Falconet
White-bellied Goshawk
Southern Sooty Woodpecker
Tanimbar Megapode
White-spotted Flufftail
White-rumped Robin
Ferruginous Hawk
Sooty-capped Hermit
Corn Crake
Viridian Metaltail
Plain Flowerpecker
Chestnut-rumped Babbler
Chestnut-headed Bee-eater
Somali Golden-winged Grosbeak
Sula Lorikeet
Collared Bush Robin
Dimorphic Egret
Ashy-headed Green Pigeon
Black-backed Woodpecker
Mandarin Duck
Hume's Leaf Warbler
Flame Bowerbird
Edwards's Fig Parrot
Andaman Treepie
Great Swallow-tailed Swift
White-collared Oliveback
Xingu Scale-backed Antbird
Buru Bush Warbler
Yellow-throated Seedeater
Eastern Black-headed Batis
Dusky Spinetail
Streak-necked Flycatcher
Sokoke Scops Owl
Blue-wattled Bulbul
Green-tailed Goldenthroat
Asian Barred Owlet
Broad-tailed Hummingbird
Tepui Swift
Green-crowned Plovercrest
Makira Cicadabird
Slaty Egret
Palawan Striped Babbler
Chestnut-bellied Guan
Savanna Hawk
Mistle Thrush
Painted Manakin
Genovesa Cactus Finch
Geelvink Pygmy Parrot
Bolle's Pigeon
Grey-breasted Partridge
African Darter
Finsch's Imperial Pigeon
Fülleborn's Boubou
Cuban Green Woodpecker
Ward's Flycatcher
Rufous-faced Warbler
Yellow-faced Grassquit
Brown-winged Starling
Trinidad Piping Guan
Chubut Steamer Duck
Barred Parakeet
Madagascar Jacana
Campbell's Fairywren
Udzungwa Forest Partridge
Black-backed Forktail
Tawny-bellied Seedeater
Reunion Bulbul
Black-eared Miner
Band-tailed Hornero
Great-billed Hermit
Wattled Ibis
Streak-headed White-eye
Tenggara Paradise Flycatcher
Striped Flowerpecker
Saffron-crested Tyrant-Manakin
Cuckoo Roller
Rufous-bellied Eagle
Long-billed Corella
Tuamotu Reed Warbler
Klages's Antbird
New Guinea Thornbill
Varied Honeyeater
Ashy Prinia
Carib Grackle
Madagascar Fish Eagle
Blue-browed Tanager
Maranon Pigeon
Chestnut-capped Brushfinch
Little Cormorant
Abert's Towhee
Rufous-winged Buzzard
Lesser Antillean Bullfinch
Chestnut-fronted Helmetshrike
Rook
Cetti's Warbler
Brown Cuckoo-Dove
Spotted Laughingthrush
Stresemann's Bristlefront
Yellow-bellied Wattle-eye
Red-throated Loon
Green-chinned Euphonia
Pacific Reef Heron
Shikra
Ringed Woodpecker
White-bellied Woodpecker
Masked Finfoot
Bronze Mannikin
Lesser Yellowlegs
Antipodes Parakeet
Tawitawi Brown Dove
Jerdon's Courser
Bianchi's Warbler
Five-colored Barbet
Pacific Wren
Rusty-breasted Nunlet
Yungas Tody-Tyrant
Russet Antshrike
White-winged Duck
White-throated Kingbird
Rufous-bellied Swallow
Scaly-naped Pigeon
Cabot's Tern
White-winged Cuckooshrike
White-rumped Babbler
Ecuadorian Thrush
White-crowned Robin-Chat
Scarlet-rumped Trogon
Round-tailed Manakin
White-rumped Triller
Madagascar Buttonquail
Nightingale Reed Warbler
Spotted Nutcracker
Ochre-striped Antpitta
Verreaux's Monal-Partridge
Bar-bellied Woodcreeper
Palau Bush Warbler
White-browed Bush Robin
Ferruginous-backed Antbird
Little Green Pigeon
Biddulph's Ground Jay
Little Greenbul
Scaled Chachalaca
Rodrigues Parrot
White-cheeked Tern
Red-eyed Puffback
Black-browed Reed Warbler
Reichenbach's Sunbird
Himalayan Prinia
Ochre-breasted Antpitta
Mangrove Kingfisher
Chabert Vanga
Violaceous Euphonia
Wire-tailed Swallow
Wilson's Indigobird
Greyish Mourner
Otago Shag
Cinnamon-bellied Flowerpiercer
Chestnut-backed Thrush
Rufous-winged Illadopsis
Mexican Chickadee
Lord Howe Parakeet
Tsavo Sunbird
Waigeo Brushturkey
Common Buzzard
Nilgiri Flowerpecker
Lesser Nighthawk
Marbled Murrelet
White-capped Parrot
Gorgeted Sunangel
Spike-heeled Lark
Vanuatu Megapode
Red Crossbill
Bahia Spinetail
Brown-capped Tit-Spinetail
Chestnut Wood Quail
Fiji Wattled Honeyeater
Black-chinned Antbird
Small Lifou White-eye
Black Rail
Hadada Ibis
Pale-bellied Mourner
Mountain Wheatear
Sooty-capped Puffbird
Rainbow-bearded Thornbill
Bismarck Hanging Parrot
Mottled Duck
Bukidnon Woodcock
Yellow-bellied Elaenia
Madagascar Lark
White-bellied Crested Flycatcher
Bronze-tailed Comet
Rufous-fronted Antthrush
Plain-tailed Nighthawk
Sierran Elaenia
Leaden Flycatcher
Blue Korhaan
Black-necked Aracari
Cerulean Cuckooshrike
Melodious Blackbird
Chestnut-throated Spinetail
Red-masked Parakeet
Long-tailed Manakin
Striped Wren-Babbler
Grey-headed Warbler
Large Ground Finch
Brown Nunlet
Red-necked Aracari
Azure-naped Jay
Ethiopian Boubou
Rufous-crowned Laughingthrush
Crimson-hooded Manakin
New Guinea Friarbird
South Pare White-eye
Tricolored Brushfinch
Splendid Fairywren
Scaly-breasted Munia
Middle Spotted Woodpecker
Black-chested Mountain Tanager
Oahu Akepa
Urubamba Antpitta
Olive-backed Flowerpecker
White-browed Spinetail
Chinese Shortwing
Strickland's Woodpecker
Black-necked Eremomela
Baudo Guan
White-bellied Emerald
Greater Yellowlegs
Crescent-faced Antpitta
Streak-headed Honeyeater
Eastern Bronze-naped Pigeon
Black-throated Bushtit
Black Wheatear
Plain Softtail
Fieldfare
Blackish Tapaculo
Stripe-throated Wren
Tanimbar Corella
Hume's Wheatear
Black-tailed Godwit
Slender-billed Inezia
White-bellied Whistler
Least Auklet
Red-necked Nightjar
Bimaculated Lark
Santa Cruz White-eye
Yellow-rumped Flycatcher
Black-bellied Firefinch
River Lapwing
Red-necked Buzzard
Mountain Buzzard
Yellow-whiskered Greenbul
Lesser Yellownape
Black-faced Babbler
Jet Manakin
Makatea Fruit Dove
Black-headed Shrike-babbler
Tree Martin
Ash-throated Crake
Karamoja Apalis
Bougainville Honeyeater
Red-headed Lovebird
Red-throated Sunbird
Red-eared Parrotfinch
Carolina Parakeet
Arctic Tern
Gough Moorhen
Vinaceous-breasted Amazon
Spotted Imperial Pigeon
Dalmatian Pelican
Australian Owlet-nightjar
Hawaii Oo
Hispaniolan Crossbill
Golden-hooded Tanager
Bicolored Flowerpecker
Ochre-backed Woodpecker
New Zealand Storm Petrel
Coppery-chested Jacamar
Kauai Akialoa
Reunion Cuckooshrike
Rufous Woodpecker
Alaotra Grebe
Andean Hillstar
Black-faced Rufous Warbler
Golden-naped Woodpecker
Coraya Wren
Hooded Crow
Spot-winged Starling
Stresemann's Bushcrow
Rufous-rumped Foliage-gleaner
Black-faced Woodswallow
Dwarf Cuckoo
Santa Marta Antpitta
Christmas Imperial Pigeon
Golden-spotted Ground Dove
Tawny-flanked Prinia
Madagascar Cuckooshrike
Brown-backed Honeyeater
Plumbeous Warbler
Red-rumped Swallow
Scarlet-breasted Dacnis
Japanese Wood Pigeon
Palm Lorikeet
Black Metaltail
Malaysian Pied Fantail
Hawaii Amakihi
Grey-crowned Prinia
Black-headed Hemispingus
Long-tailed Shrike
Three-banded Courser
Least Storm Petrel
Equatorial Greytail
Palawan Peacock-Pheasant
Vinaceous Rosefinch
Savannah Sparrow
Satyr Tragopan
Sooty Grouse
Papuan Pitta
Collared Flycatcher
Papuan Scrub Robin
Philby's Partridge
White-capped Munia
Beach Kingfisher
Red-necked Woodpecker
Acacia Tit
Nepal House Martin
Gabela Bushshrike
Drab Hemispingus
Eastern Yellow-billed Hornbill
Grey Heron
Palau Fantail
Niam-niam Parrot
Foxy Cisticola
Black-winged Kite
Olive-backed Tanager
Marsh Warbler
Tagula Shrikethrush
Snow Bunting
Reunion Owl
Mascarene Petrel
Spot-backed Antwren
Golden-fronted Leafbird
Black-and-rufous Swallow
Moluccan Masked Owl
Lilac-crowned Fruit Dove
Dusky Long-tailed Cuckoo
Masafuera Rayadito
Townsend's Warbler
Greater Coucal
Sickle-winged Nightjar
Biak Coucal
Cinnamon-breasted Tody-Tyrant
Yellow-bellied Longbill
Black-chinned Monarch
Sinaloa Wren
Rusty Flowerpiercer
Taiwan Hwamei
Ryukyu Robin
LeConte's Thrasher
Red-tailed Comet
Lesser Jacana
Red-necked Stint
Hooded Yellowthroat
Purple-winged Roller
Bachman's Warbler
Ruspoli's Turaco
Lemon-bellied Crombec
Narina Trogon
Crossley's Vanga
Barred Becard
Siberian Rubythroat
Bradfield's Hornbill
California Gull
White-cheeked Honeyeater
European Storm Petrel
Whistling Warbler
Oriole Warbler
Glittering Kingfisher
Grey-headed Sunbird
Greater White-fronted Goose
Far Eastern Curlew
Ornate Tinamou
White-headed Wood Hoopoe
Mangrove Golden Whistler
Rusty Bush Lark
Palawan Flycatcher
Black-winged Lovebird
Black-crowned Pitta
Variable Goshawk
Sharp-tailed Grouse
Fischer's Greenbul
African River Martin
Sierra Nevada Antpitta
Grey-headed Imperial Pigeon
Red-collared Woodpecker
Banded Stilt
Blue Ground Dove
Chestnut-collared Longspur
White-throated Antbird
Great Parrotbill
Golden Parrotbill
Socotra Sunbird
Grey-headed Lapwing
Pennant-winged Nightjar
Blue-footed Booby
Long-tailed Woodcreeper
African Palm Swift
Great Indian Bustard
Grey Tinamou
Burmese Collared Dove
Stripe-breasted Spinetail
Indian Silverbill
Crested Lark
Mewing Kingfisher
Jambandu Indigobird
Saffron Toucanet
Say's Phoebe
Orange-billed Sparrow
Scrubtit
Sumatran Laughingthrush
Wattled Jacana
Pale-fronted Nigrita
Chestnut-naped Spurfowl
Opalton Grasswren
Northern Pied Babbler
White-capped Redstart
Black-throated Blue Warbler
Chestnut-winged Foliage-gleaner
Grey-cheeked Fulvetta
Long-tailed Fantail
Philippine Bush Warbler
Pink-footed Shearwater
Long-billed Wren
Ground Woodpecker
Armenian Gull
Philippine Swamphen
Buff-chested Babbler
Black-nest Swiftlet
Blue-winged Leafbird
Maroon-chested Ground Dove
Cliff Parakeet
Blyth's Leaf Warbler
Bristle-crowned Starling
Campo Troupial
White-breasted Guineafowl
Drab Myzomela
Sokoke Pipit
Thick-billed Raven
Slender Antbird
Grey-sided Bush Warbler
Cinnamon-vented Piha
Nelicourvi Weaver
Spruce Grouse
Lineated Woodpecker
Abdim's Stork
Afghan Babbler
White-browed Hawk
Sira Tanager
Javan Owlet
Sharpe's Drongo
Green Cochoa
Red Rail
Mangrove Sunbird
Seram Golden Bulbul
Streaked Tuftedcheek
MacGillivray's Warbler
Scaly-breasted Lorikeet
Manus Cuckooshrike
Purple-bibbed Whitetip
Short-tailed Shearwater
Mountain Myzomela
Green-breasted Bushshrike
Blue-faced Honeyeater
Yellow-bellied Flowerpecker
Spot-bellied Eagle-Owl
Pale-faced Bulbul
White-browed Gnatcatcher
Long-tailed Hermit
Mangrove Rail
Buff-breasted Sandpiper
Flammulated Treehunter
Black-chinned Hummingbird
Western Grasswren
Mangrove Blue Flycatcher
Long-billed Cuckoo
Lesser Moorhen
Mindoro Hornbill
Rufous-headed Tailorbird
Noronha Vireo
Three-streaked Tchagra
Cape Sparrow
Puna Ibis
Swinhoe's Rail
Northern Royal Flycatcher
Bokmakierie
Hook-billed Bulbul
Scaly-naped Amazon
Amazonian Umbrellabird
Bearded Tachuri
Daurian Redstart
Edwards's Pheasant
Many-spotted Hummingbird
Rufous-necked Hornbill
Uniform Swiftlet
Northern Fantail
Slender-billed Greenbul
Hodgson's Hawk-Cuckoo
Bahama Yellowthroat
Northern Red Bishop
Ringed Teal
Montserrat Oriole
Greater Amakihi
Eaton's Pintail
Village Indigobird
Eungella Honeyeater
Black-tipped Cotinga
Black-striped Sparrow
Dark-throated Oriole
Satin Flycatcher
Scaly-breasted Woodpecker
White-chinned Myzomela
Nilgiri Pipit
Plumbeous Vireo
Large-tailed Nightjar
Northern Puffback
Rufous-breasted Hermit
Hartlaub's Bustard
Cory's Shearwater
Henna-capped Foliage-gleaner
Jamaican Pewee
Clay-colored Thrush
White-fronted Chat
Bronzed Drongo
Black-cheeked Lovebird
Long-billed Bush Warbler
Dusky Friarbird
Oriental Bay Owl
Preuss's Cliff Swallow
Giant Sunbird
European Goldfinch
Australian Pied Cormorant
Buff-throated Sunbird
Red-lored Amazon
Sprague's Pipit
Collared Treepie
Olive-throated Parakeet
Buff-throated Foliage-gleaner
Sombre Greenbul
Upland Pipit
Crestless Curassow
Red-winged Starling
New Holland Honeyeater
Oriental Reed Warbler
Banded Martin
Banded Ground Cuckoo
Spectacled Warbler
Large-billed Crow
Ash-breasted Sierra Finch
White-throated Dipper
White-fronted Ground Tyrant
Black Bee-eater
Choco Brushfinch
Green Crombec
Black-headed Rufous Warbler
Mascarene Coot
Rothschild's Swift
Grey-headed Bulbul
Caribbean Hornero
Colombian Chachalaca
African Crake
Green Heron
Crimson Rosella
Nacunda Nighthawk
White-faced Starling
Giant Antshrike
Mottled Flowerpecker
Red-necked Spurfowl
Grey-hooded Attila
Nutting's Flycatcher
Puff-throated Bulbul
Glaucous Gull
Sunda Coucal
Antillean Euphonia
Little Woodpecker
Colima Pygmy Owl
Visayan Miniature Babbler
Short-tailed Emerald
Madarasz's Tiger Parrot
Tawny-rumped Tyrannulet
Ruddy-tailed Flycatcher
Great Thrush
Riverside Wren
Grey-rumped Swiftlet
Sharp-shinned Hawk
Crescent Honeyeater
New Britain Thicketbird
Great Egret
Chestnut-sided Shrike-Vireo
Pink-headed Imperial Pigeon
Black-tailed Trainbearer
Banded Broadbill
Tufted Jay
Streaked Berrypecker
Green-winged Teal
African Pied Hornbill
Sichuan Tit
Tasmanian Thornbill
Western Tinkerbird
Diademed Tapaculo
Chalk-browed Mockingbird
Sumatran Blue Robin
Mindoro Bleeding-heart
Mottle-breasted Honeyeater
American White Pelican
Yellow-bibbed Lory
Okinawa Woodpecker
Javan Pond Heron
Crimson-breasted Finch
Tiny Cisticola
Congo Martin
Rosy Minivet
Yellow-faced Myna
White-headed Vanga
Swallow-tailed Kite
Racket-tailed Roller
South Melanesian Cuckooshrike
Ambon White-eye
Large Hawk-Cuckoo
White-spectacled Bulbul
Shining Bronze Cuckoo
White-eared Barbet
Chuuk Monarch
Scaly Laughingthrush
Eye-ringed Tody-Tyrant
Bare-legged Owl
Shelley's Oliveback
Rwenzori Hill Babbler
Bearded Bellbird
Cactus Canastero
Black-eared Cuckoo
Forest Swallow
Western Black-eared Wheatear
Cape Crow
Green-capped Tanager
Western Sandpiper
Eastern Osprey
Thorn-tailed Rayadito
Tibetan Eared Pheasant
Purple-backed Sunbeam
Chestnut-backed Sparrow-Lark
Tawny Owl
White-sided Hillstar
Oriental Cuckoo
Blackish Rail
Tachira Antpitta
Australian White Ibis
Loggerhead Shrike
Crested White-eye
Red-fan Parrot
Simple Greenbul
Maracaibo Tody-Flycatcher
Black-faced Friarbird
Velvet-purple Coronet
Sinai Rosefinch
Great-billed Seed Finch
Northern Jacana
Black Currawong
Dusky Nightjar
Chestnut-backed Owlet
Black-headed Ibis
Mountain Honeyeater
Giant Cowbird
West Peruvian Dove
Black-bellied Sandgrouse
European Serin
Hall's Babbler
Chestnut-breasted Mountain Finch
Malabar Woodshrike
Yellow-breasted Antpitta
Crested Honey Buzzard
Pemba Sunbird
Forest Fody
Cinnamon-bellied Saltator
Southern Variable Pitohui
Chestnut Sparrow
Sind Sparrow
Tinian Monarch
Fasciated Wren
Orinoco Softtail
Togo Paradise Whydah
Spotted Redshank
Palmchat
Reunion Olive White-eye
Collared Lory
Allen's Hummingbird
Grand Comoro Drongo
Cape Penduline Tit
Harlequin Duck
Inca Dove
Sibilant Sirystes
Inca Jay
Chestnut-hooded Laughingthrush
Western Fire-eye
Yellow-throated Toucan
Bare-faced Go-away-bird
Sunda Bush Warbler
Cryptic Warbler
Palawan Blue Flycatcher
Red-throated Cliff Swallow
Ashy Cisticola
Przevalski's Partridge
Harwood's Spurfowl
Amethyst-throated Mountaingem
Straw-necked Ibis
Black-crowned Antshrike
Puerto Rican Flycatcher
Great-tailed Grackle
Eared Pygmy Tyrant
Oilbird
Yellow-tufted Dacnis
Jos Plateau Indigobird
Mallard
Santa Marta Antbird
Mountain Swiftlet
Crag Chilia
Black-backed Grosbeak
Sulawesi Hawk-Eagle
Yellow-throated Fulvetta
Fire-fronted Bishop
Three-banded Plover
Sao Tome Weaver
Serra do Mar Tyrant-Manakin
Kandt's Waxbill
Hornbill Friarbird
Anambra Waxbill
Sri Lanka Drongo
Australasian Swamphen
Carrion Crow
Barlow's Lark
Iago Sparrow
Grey Bush Chat
Black-chinned Sparrow
South Island Saddleback
Mottle-backed Elaenia
Small Crow
Cinereous Bunting
Varzea Schiffornis
Rufous-chested Plover
Prong-billed Barbet
Silvery-throated Jay
Rusty-fronted Canastero
Spot-necked Bulbul
Red-bellied Grackle
Spectacled Tyrant
Little Swift
Taiwan Yuhina
Speckle-throated Woodpecker
Botteri's Sparrow
Chirruping Wedgebill
Speckled Rail
Mountain Serpent Eagle
Northern Rough-winged Swallow
Ocellated Crake
Greater Sand Plover
Nanday Parakeet
Unicolored Tapaculo
Brehm's Tiger Parrot
Manicore Warbling Antbird
Yellow-legged Tinamou
Grey-chinned Hermit
Chilean Pigeon
Coqui Francolin
Chestnut-eared Bunting
Austen's Brown Hornbill
White-fronted Nunbird
Sikkim Treecreeper
Chestnut-crested Cotinga
Red-mantled Rosefinch
Yellow-necked Spurfowl
